Annotation Cluster 1	Enrichment Score: 32.79931530818503
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007049~cell cycle	358	15.989280928986155	2.504468663742246E-59	MDC1, ANKLE1, TRRAP, CCNF, DIXDC1, MKI67, SMC4, SMC2, CDC20, MTBP, CDC23, CSPP1, MYC, CDC27, INSC, CHEK1, STMN1, AKT1, FBXO5, HMCN1, SOX9, SKP2, CEP97, SOX4, CDK5RAP2, TIPIN, DDX11, CSNK2A2, STARD9, CIRBP, SIAH1A, SOX11, DICER1, ESCO2, MIF, WDR76, HCFC1, EID1, SFRP1, DDX39B, CEP57L1, ZFYVE19, TXNIP, FAM64A, DNA2, KIF20A, KIF20B, EZR, SLBP, CDCA2, CDCA3, ZFP503, GATA6, CDCA8, NCAPG, TGFA, WDR62, IQGAP3, NCAPH, SKA1, BRIP1, DSN1, RACGAP1, RAD21, CEP72, MCMBP, CEP192, PLK4, FZD3, CREBBP, AFAP1L2, HACE1, PLK2, RCC2, PLK1, IGF2, LARP7, CDC7, NR2F2, IGF1, CDC6, EIF2AK4, PBX1, ZWINT, ANLN, TPX2, STAG1, STAG2, ID2, GIPC1, ID4, INTS7, ANP32B, CDK14, EZH2, CEP57, CDKN1C, TOP2A, TOP2B, CDKN1B, SUV39H1, NCAPG2, CETN3, KIF14, KIF11, PTPRK, BRCA1, SHB, BRCA2, CHAF1B, MIS18BP1, GSG2, NUF2, SPIN1, PHGDH, DLGAP5, CEP55, TCF19, HELLS, EDN1, PRMT2, TET2, KIFC5B, KIF23, KIF22, TERF2, CIT, DDB1, RAD51C, KIFC1, INCENP, CENPC1, CKS2, RARA, GAS1, KIF2C, ARHGEF2, MAPRE2, FOXC1, PCNA, DOT1L, AKAP8, GNAI3, SNX33, CENPA, GNAI1, RECQL4, FLNA, TRP53BP1, TRP53BP2, PAK4, GINS1, CENPT, MBD4, RANBP1, NPM1, CENPW, CDKN2C, ATAD5, RPA2, MLH1, MZT1, CENPE, SNX18, APITD1, TFAP4, CENPH, RPA3, CCNG2, CCDC8, TACC3, NCAPD2, CENPN, TRIP13, NCAPD3, CRLF3, SPC24, MAD2L1, SPC25, ERCC6L, ZWILCH, ZFP207, DSCC1, HJURP, BUB1B, CDC14A, IGF1R, CTGF, SYDE1, CCND3, TUBB5, CCND2, CCND1, PTTG1, POGZ, CFL1, PIM1, NUSAP1, SMARCAD1, NEK2, KNTC1, NEK3, GEN1, LIG1, VRK1, VASH1, CDC25A, MELK, CCNE1, FANCD2, SRSF2, ERH, NOTCH2, BRSK1, KHDRBS1, RNASEH2B, BLM, PDS5B, KLHL13, PMF1, ZFP36L1, NPAT, CCNB2, BCL2L11, ORC1, ABL1, EIF4EBP1, CLSPN, FAM83D, ECT2, EVI5, MYH10, TGFB2, STIL, UBE2I, FANCM, UBE2C, PTCH1, HMGA2, DSTN, INHBA, BMP7, NDC80, CDK6, 2610002M06RIK, STK24, NASP, CDK4, REEP4, TRP53, CDK2, CDK1, BCL2, PHF13, MDM4, CNTROB, TCF3, SAE1, GPSM2, MCM7, SYCP1, CEP164, CHD4, CHD3, HMGB1, CHTF18, LMNB1, CKS1B, SEPT9, SEPT6, FAM178A, HHEX, SGOL1, EXO1, CASP3, CASP2, WDR6, MYBL2, TOPBP1, POLE, YWHAH, DACT1, ACTR3, KLF11, MYOCD, RBM14, PPP1R12A, DNMT3A, H2AFX, CKAP2, CTDSPL, HAUS4, SEPT1, HAUS6, MASTL, SEPT2, SEPT3, CCNA2, ASPM, SFPQ, DBF4, RBL1, TFDP1, PSRC1, ESPL1, MCM3, BIRC5, MCM4, MCM5, MCM6, DTL, MCM2, UHRF1, SRC, CAMK2A, PARD6G, WIZ, FOXK1, LIN9, PPM1D, ACVR1B, RNF4, SLFN9, THBS1, RNF2, NSL1, AURKB, AURKA, CDC42, PARD6B, MAPK7, RBBP4, HAUS7, E2F1, RBBP8, E2F2, MAPK6, BUB1, E2F7, E2F8, TCF7L2, RRM1, SEPT11, SPAG5, ZFP318, FEM1B, USP22, CEP152, MIIP, ATP2B4, CHFR, PML, RAD50, RAD51, PRC1, TRIM35, SPRY2, TRIM37	1890	1440	17911	2.356017783656673	2.1816426529858704E-55	2.1813922061194964E-55	1.984040075416607E-55
GOTERM_BP_FAT	GO:0022402~cell cycle process	283	12.639571237159448	1.5980004989945747E-48	ANKLE1, TRRAP, CCNF, MKI67, SMC4, SMC2, CDC20, MTBP, CDC23, CSPP1, MYC, CDC27, INSC, CHEK1, STMN1, AKT1, FBXO5, SKP2, CEP97, SOX4, CDK5RAP2, TIPIN, DDX11, CSNK2A2, STARD9, CIRBP, SIAH1A, SOX11, DICER1, MIF, WDR76, DDX39B, CEP57L1, ZFYVE19, FAM64A, DNA2, KIF20A, KIF20B, EZR, SLBP, CDCA2, CDCA3, ZFP503, GATA6, CDCA8, NCAPG, TGFA, WDR62, IQGAP3, NCAPH, SKA1, BRIP1, DSN1, RACGAP1, RAD21, CEP72, MCMBP, CEP192, PLK4, CREBBP, PLK2, RCC2, PLK1, IGF2, LARP7, CDC7, IGF1, CDC6, EIF2AK4, PBX1, ZWINT, ANLN, TPX2, STAG1, STAG2, ID2, GIPC1, ID4, INTS7, ANP32B, CDK14, EZH2, CEP57, CDKN1C, TOP2A, TOP2B, CDKN1B, NCAPG2, CETN3, KIF14, KIF11, BRCA1, BRCA2, MIS18BP1, GSG2, NUF2, SPIN1, PHGDH, CEP55, TCF19, HELLS, EDN1, PRMT2, KIFC5B, KIF23, KIF22, CIT, DDB1, RAD51C, KIFC1, INCENP, CENPC1, CKS2, GAS1, KIF2C, ARHGEF2, MAPRE2, PCNA, DOT1L, AKAP8, SNX33, CENPA, RECQL4, FLNA, TRP53BP1, GINS1, CENPT, MBD4, RANBP1, NPM1, CENPW, CDKN2C, ATAD5, RPA2, MLH1, MZT1, CENPE, SNX18, APITD1, TFAP4, CENPH, CCNG2, CCDC8, TACC3, NCAPD2, CENPN, TRIP13, NCAPD3, CRLF3, SPC24, MAD2L1, SPC25, ERCC6L, ZWILCH, ZFP207, DSCC1, BUB1B, CDC14A, IGF1R, CTGF, SYDE1, TUBB5, CCND2, CCND1, PTTG1, POGZ, CFL1, NUSAP1, SMARCAD1, NEK2, KNTC1, NEK3, GEN1, LIG1, VRK1, VASH1, CDC25A, CCNE1, FANCD2, SRSF2, NOTCH2, BRSK1, RNASEH2B, BLM, PDS5B, KLHL13, PMF1, ZFP36L1, NPAT, CCNB2, ORC1, EIF4EBP1, CLSPN, FAM83D, ECT2, MYH10, TGFB2, STIL, UBE2I, FANCM, UBE2C, HMGA2, DSTN, INHBA, BMP7, NDC80, CDK4, REEP4, TRP53, CDK2, CDK1, BCL2, PHF13, MDM4, CNTROB, TCF3, GPSM2, SYCP1, CEP164, CHD4, CHD3, CHTF18, LMNB1, CKS1B, FAM178A, SGOL1, CASP2, WDR6, MYBL2, TOPBP1, POLE, YWHAH, DACT1, ACTR3, KLF11, RBM14, PPP1R12A, H2AFX, CKAP2, CTDSPL, HAUS4, SEPT1, HAUS6, MASTL, SEPT2, CCNA2, ASPM, SFPQ, DBF4, PSRC1, ESPL1, BIRC5, DTL, CAMK2A, WIZ, PPM1D, ACVR1B, RNF4, SLFN9, THBS1, NSL1, AURKB, AURKA, CDC42, HAUS7, E2F1, RBBP8, BUB1, E2F7, E2F8, TCF7L2, SPAG5, FEM1B, CEP152, MIIP, ATP2B4, CHFR, PML, RAD50, RAD51, PRC1, SPRY2, TRIM37	1890	1109	17911	2.418315275213381	1.392018234674174E-44	6.959292173121373E-45	6.32967997651751E-45
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	226	10.093791871371147	1.9261791720443983E-47	TRRAP, CCNF, MKI67, SMC4, SMC2, CDC20, MTBP, CDC23, CDC27, INSC, CHEK1, STMN1, AKT1, FBXO5, SKP2, CEP97, SOX4, CDK5RAP2, TIPIN, CSNK2A2, CEP57L1, FAM64A, DNA2, KIF20A, KIF20B, CDCA2, CDCA3, CDCA8, NCAPG, TGFA, WDR62, IQGAP3, NCAPH, SKA1, DSN1, RACGAP1, RAD21, MCMBP, CEP192, FZD3, CREBBP, PLK2, RCC2, PLK1, IGF2, LARP7, CDC7, IGF1, CDC6, PBX1, ZWINT, ANLN, TPX2, STAG1, STAG2, ID2, ID4, ANP32B, CDK14, EZH2, CEP57, CDKN1C, TOP2A, TOP2B, CDKN1B, NCAPG2, CETN3, KIF14, KIF11, SHB, BRCA2, MIS18BP1, GSG2, NUF2, CEP55, TCF19, HELLS, EDN1, PRMT2, KIFC5B, KIF23, KIF22, CIT, DDB1, RAD51C, KIFC1, INCENP, CENPC1, CKS2, GAS1, KIF2C, ARHGEF2, MAPRE2, FOXC1, PCNA, AKAP8, SNX33, CENPA, FLNA, GINS1, CENPT, MBD4, RANBP1, CENPW, CDKN2C, ATAD5, RPA2, MZT1, CENPE, SNX18, APITD1, CENPH, CCNG2, CCDC8, TACC3, NCAPD2, CENPN, NCAPD3, CRLF3, SPC24, MAD2L1, SPC25, ERCC6L, ZWILCH, ZFP207, DSCC1, BUB1B, CDC14A, IGF1R, CCND2, CCND1, PTTG1, POGZ, CFL1, NUSAP1, NEK2, KNTC1, NEK3, GEN1, LIG1, VRK1, CDC25A, CCNE1, SRSF2, BRSK1, RNASEH2B, BLM, PDS5B, KLHL13, PMF1, ZFP36L1, NPAT, CCNB2, ABL1, EIF4EBP1, CLSPN, FAM83D, MYH10, STIL, UBE2I, UBE2C, HMGA2, INHBA, BMP7, NDC80, STK24, CDK4, REEP4, TRP53, CDK2, CDK1, BCL2, PHF13, CNTROB, TCF3, GPSM2, CEP164, HMGB1, LMNB1, CKS1B, FAM178A, SGOL1, CASP2, MYBL2, TOPBP1, POLE, YWHAH, DACT1, KLF11, PPP1R12A, DNMT3A, CKAP2, CTDSPL, HAUS4, MASTL, SEPT2, CCNA2, ASPM, DBF4, TFDP1, PSRC1, ESPL1, BIRC5, CAMK2A, PPM1D, ACVR1B, SLFN9, RNF2, NSL1, AURKB, AURKA, CDC42, HAUS7, E2F1, RBBP8, BUB1, E2F7, E2F8, RRM1, SPAG5, USP22, MIIP, CHFR, PML, TRIM35, SPRY2	1890	787	17911	2.7213959648521273	1.6778946767678753E-43	5.592340196168903E-44	5.086397133645241E-44
GOTERM_BP_FAT	GO:1903047~mitotic cell cycle process	205	9.15587315765967	3.8816341860271557E-44	TRRAP, CCNF, SMC4, SMC2, CDC20, MTBP, CDC23, CDC27, INSC, CHEK1, STMN1, AKT1, FBXO5, SKP2, CEP97, SOX4, CDK5RAP2, TIPIN, CSNK2A2, CEP57L1, FAM64A, DNA2, KIF20A, KIF20B, CDCA2, CDCA3, CDCA8, NCAPG, TGFA, WDR62, IQGAP3, NCAPH, SKA1, DSN1, RACGAP1, RAD21, MCMBP, CEP192, CREBBP, PLK2, RCC2, PLK1, IGF2, LARP7, CDC7, IGF1, CDC6, PBX1, ZWINT, ANLN, TPX2, STAG1, STAG2, ID2, ID4, ANP32B, CDK14, EZH2, CEP57, CDKN1C, TOP2A, TOP2B, CDKN1B, NCAPG2, CETN3, KIF14, KIF11, MIS18BP1, GSG2, NUF2, CEP55, TCF19, HELLS, EDN1, PRMT2, KIFC5B, KIF23, KIF22, CIT, RAD51C, KIFC1, INCENP, CENPC1, CKS2, KIF2C, ARHGEF2, MAPRE2, PCNA, AKAP8, SNX33, CENPA, FLNA, GINS1, CENPT, MBD4, RANBP1, CENPW, CDKN2C, RPA2, MZT1, CENPE, SNX18, APITD1, CENPH, CCNG2, TACC3, NCAPD2, CENPN, NCAPD3, CRLF3, SPC24, MAD2L1, SPC25, ERCC6L, ZWILCH, ZFP207, DSCC1, BUB1B, CDC14A, IGF1R, CCND2, CCND1, PTTG1, POGZ, CFL1, NUSAP1, NEK2, KNTC1, NEK3, GEN1, LIG1, VRK1, CDC25A, CCNE1, SRSF2, BRSK1, RNASEH2B, BLM, PDS5B, KLHL13, PMF1, ZFP36L1, NPAT, CCNB2, EIF4EBP1, CLSPN, FAM83D, MYH10, STIL, UBE2I, UBE2C, HMGA2, INHBA, BMP7, NDC80, CDK4, REEP4, TRP53, CDK2, CDK1, BCL2, PHF13, CNTROB, TCF3, GPSM2, CEP164, LMNB1, CKS1B, FAM178A, SGOL1, CASP2, MYBL2, TOPBP1, POLE, DACT1, KLF11, PPP1R12A, CKAP2, CTDSPL, HAUS4, MASTL, SEPT2, CCNA2, ASPM, DBF4, PSRC1, ESPL1, BIRC5, CAMK2A, PPM1D, ACVR1B, SLFN9, NSL1, AURKB, AURKA, HAUS7, E2F1, RBBP8, BUB1, E2F7, SPAG5, MIIP, CHFR, PML, SPRY2	1890	702	17911	2.7674181100107025	3.3812915394482554E-40	8.452258440074131E-41	7.687576505426782E-41
GOTERM_BP_FAT	GO:0051301~cell division	162	7.2353729343456905	7.562851569504366E-35	ERCC6L, ZWILCH, ZFP207, CCNF, DIXDC1, BUB1B, SMC4, CDC14A, IGF1R, SMC2, CDC20, CCND3, CDC23, CCND2, CCND1, PTTG1, MYC, CSPP1, CFL1, STMN1, CDC27, POGZ, NUSAP1, NEK2, KNTC1, FBXO5, HMCN1, NEK3, TIPIN, LIG1, VRK1, DICER1, CDC25A, SFRP2, CCNE1, ZFYVE19, TXNIP, FAM64A, KIF20A, KIF20B, BLM, CDCA2, CDCA3, TGFA, CDCA8, PDGFA, PDS5B, KLHL13, PMF1, NCAPH, SKA1, CCNB2, BRIP1, DSN1, RACGAP1, RAD21, MCMBP, ECT2, FAM83D, MYH10, EVI5, TGFB2, UBE2I, UBE2C, PTCH1, RCC2, PLK1, IGF2, HMGA2, DSTN, CDC7, CDC6, ZWINT, NDC80, ANLN, TPX2, STAG1, CDK6, STAG2, VANGL2, 2610002M06RIK, CDK4, REEP4, GIPC1, CDK2, CDK1, PHF13, CNTROB, CDK14, TOP2A, SYCP1, NCAPG2, CEP164, CETN3, DOCK7, KIF14, KIF11, BRCA2, CKS1B, SEPT9, SEPT6, SGOL1, MIS18BP1, MDK, NUF2, CEP55, ACTR3, HELLS, CKAP2, HAUS4, KIFC5B, SEPT1, KIF23, MASTL, SEPT2, CIT, SEPT3, CCNA2, ASPM, PSRC1, KIFC1, INCENP, CENPC1, KIT, CKS2, BIRC5, MCM5, KIF2C, ARHGEF2, MAPRE2, GNAI3, PARD6G, PTN, SNX33, CENPA, THBS4, GNAI1, NSL1, AURKB, AURKA, CDC42, PARD6B, HAUS7, RBBP8, BUB1, E2F7, E2F8, CENPT, SEPT11, CENPW, SPAG5, CHFR, CENPE, SNX18, APITD1, PRC1, CCNG2, NCAPD2, NCAPD3, SPC24, MAD2L1, SPC25	1890	554	17911	2.771170706549768	6.588000002195253E-31	1.3174487434076605E-31	1.198258202672272E-31
GOTERM_BP_FAT	GO:0007067~mitotic nuclear division	133	5.94015185350603	1.0675843208123523E-32	ERCC6L, ZWILCH, ZFP207, DSCC1, CCNF, BUB1B, SMC4, CDC14A, IGF1R, SMC2, CDC20, MTBP, CDC23, PTTG1, CHEK1, CDC27, POGZ, NUSAP1, NEK2, KNTC1, FBXO5, NEK3, CEP97, GEN1, TIPIN, CSNK2A2, VRK1, CDC25A, CEP57L1, SRSF2, FAM64A, KIF20B, CDCA2, CDCA3, TGFA, CDCA8, NCAPG, PDS5B, KLHL13, PMF1, NCAPH, SKA1, CCNB2, DSN1, RACGAP1, RAD21, MCMBP, CEP192, FAM83D, STIL, UBE2I, UBE2C, RCC2, PLK1, IGF2, HMGA2, CDC6, IGF1, BMP7, ZWINT, NDC80, ANLN, TPX2, STAG1, STAG2, REEP4, CDK2, CDK1, PHF13, CDKN1C, CEP57, CDKN1B, NCAPG2, CEP164, CETN3, KIF14, KIF11, FAM178A, SGOL1, MIS18BP1, GSG2, NUF2, MYBL2, CEP55, HELLS, EDN1, PPP1R12A, HAUS4, KIFC5B, KIF23, KIF22, MASTL, SEPT2, CIT, CCNA2, ASPM, PSRC1, ESPL1, KIFC1, INCENP, CENPC1, BIRC5, KIF2C, ARHGEF2, MAPRE2, AKAP8, SNX33, CENPA, NSL1, AURKB, AURKA, HAUS7, RBBP8, FLNA, BUB1, CENPT, RANBP1, CENPW, SPAG5, CHFR, MZT1, CENPE, SNX18, APITD1, CENPH, CCNG2, TACC3, NCAPD2, CENPN, NCAPD3, SPC24, MAD2L1, SPC25	1890	418	17911	3.015319865319866	9.299727018596401E-29	1.328379919182227E-29	1.2082004270679221E-29
GOTERM_BP_FAT	GO:0000280~nuclear division	159	7.101384546672622	4.961893796933359E-31	ERCC6L, ANKLE1, ZWILCH, ZFP207, DSCC1, CCNF, BUB1B, MKI67, SMC4, CDC14A, IGF1R, SMC2, CDC20, SYDE1, MTBP, CDC23, PTTG1, CHEK1, CDC27, POGZ, NUSAP1, NEK2, KNTC1, FBXO5, NEK3, CEP97, GEN1, TIPIN, CSNK2A2, SIAH1A, VRK1, CDC25A, CEP57L1, CCNE1, FANCD2, SRSF2, FAM64A, KIF20B, CDCA2, CDCA3, TGFA, CDCA8, NCAPG, PDS5B, KLHL13, PMF1, NCAPH, SKA1, CCNB2, BRIP1, DSN1, RACGAP1, RAD21, MCMBP, CEP192, FAM83D, STIL, UBE2I, FANCM, UBE2C, RCC2, PLK1, IGF2, HMGA2, CDC6, IGF1, BMP7, ZWINT, NDC80, ANLN, TPX2, STAG1, STAG2, REEP4, CDK2, CDK1, PHF13, CDKN1C, CEP57, TOP2A, TOP2B, CDKN1B, SYCP1, NCAPG2, CEP164, CETN3, KIF14, KIF11, CHTF18, BRCA2, FAM178A, SGOL1, MIS18BP1, GSG2, NUF2, SPIN1, MYBL2, TOPBP1, CEP55, YWHAH, ACTR3, HELLS, EDN1, PPP1R12A, HAUS4, KIFC5B, SEPT1, KIF23, KIF22, MASTL, SEPT2, CIT, CCNA2, ASPM, RAD51C, PSRC1, ESPL1, KIFC1, INCENP, CENPC1, CKS2, BIRC5, KIF2C, ARHGEF2, MAPRE2, AKAP8, SNX33, CENPA, NSL1, AURKB, AURKA, CDC42, HAUS7, RBBP8, FLNA, BUB1, CENPT, RANBP1, CENPW, SPAG5, MLH1, CHFR, MZT1, CENPE, SNX18, RAD50, APITD1, RAD51, CENPH, CCNG2, CCDC8, TACC3, NCAPD2, CENPN, NCAPD3, TRIP13, SPC24, MAD2L1, SPC25	1890	576	17911	2.6159694664903	4.322305686508649E-27	5.402261871411195E-28	4.913515332413259E-28
GOTERM_BP_FAT	GO:0007059~chromosome segregation	104	4.644930772666369	3.440363374944555E-29	ANKLE1, ZFP207, DSCC1, HJURP, BUB1B, SMC4, CDC14A, SMC2, CDC20, SYDE1, MTBP, CDC23, PTTG1, CDC27, POGZ, NUSAP1, SMARCAD1, NEK2, NEK3, CDK5RAP2, GEN1, DDX11, CSNK2A2, ESCO2, CEP57L1, CCNE1, FANCD2, CDCA2, CDCA8, NCAPG, PDS5B, PMF1, NCAPH, SKA1, BRIP1, DSN1, RACGAP1, RAD21, MCMBP, CEP192, ECT2, FAM83D, STIL, UBE2I, FANCM, UBE2C, RCC2, PLK1, CDC6, ZWINT, NDC80, STAG1, STAG2, PHF13, RAD18, CEP57, TOP2A, TOP2B, SYCP1, KIF14, BRCA1, KIF11, CHTF18, BRCA2, FAM178A, SGOL1, GSG2, NUF2, ACTR3, KIFC5B, SEPT1, KIF23, KIF22, CIT, SFPQ, RAD51C, PSRC1, ESPL1, KIFC1, INCENP, CENPC1, BIRC5, KIF2C, AKAP8, CENPA, NSL1, AURKB, RECQL4, CDC42, BUB1, CENPT, CENPW, SPAG5, MLH1, CENPE, APITD1, CENPH, TACC3, NCAPD2, CENPN, NCAPD3, TRIP13, MAD2L1, SPC25	1890	299	17911	3.2962502875546353	2.996900535914202E-25	3.3295072217518973E-26	3.028284295145641E-26
GOTERM_BP_FAT	GO:0048285~organelle fission	160	7.146047342563644	5.247825864718769E-28	ERCC6L, ANKLE1, ZWILCH, ZFP207, DSCC1, CCNF, BUB1B, MKI67, SMC4, CDC14A, IGF1R, SMC2, CDC20, SYDE1, MTBP, CDC23, PTTG1, CHEK1, CDC27, POGZ, NUSAP1, NEK2, KNTC1, FBXO5, NEK3, CEP97, GEN1, TIPIN, CSNK2A2, SIAH1A, VRK1, CDC25A, CEP57L1, CCNE1, FANCD2, SRSF2, FAM64A, KIF20B, CDCA2, CDCA3, TGFA, CDCA8, NCAPG, PDS5B, KLHL13, PMF1, NCAPH, SKA1, CCNB2, BRIP1, DSN1, RACGAP1, RAD21, MCMBP, CEP192, FAM83D, STIL, UBE2I, FANCM, UBE2C, RCC2, PLK1, IGF2, HMGA2, CDC6, IGF1, BMP7, ZWINT, NDC80, ANLN, TPX2, STAG1, STAG2, REEP4, CDK2, CDK1, PHF13, CDKN1C, CEP57, TOP2A, TOP2B, CDKN1B, SYCP1, NCAPG2, CEP164, CETN3, KIF14, KIF11, CHTF18, BRCA2, FAM178A, SGOL1, MIS18BP1, GSG2, NUF2, SPIN1, MYBL2, TOPBP1, CEP55, YWHAH, ACTR3, HELLS, EDN1, PPP1R12A, HAUS4, KIFC5B, SEPT1, KIF23, KIF22, MASTL, SEPT2, CIT, CCNA2, ASPM, RAD51C, PSRC1, ESPL1, KIFC1, INCENP, CENPC1, CKS2, BIRC5, KIF2C, ARHGEF2, MAPRE2, AKAP8, SNX33, CENPA, NSL1, AURKB, AURKA, CDC42, HAUS7, RBBP8, FLNA, BUB1, CENPT, RANBP1, CENPW, SPAG5, DDHD1, MLH1, CHFR, MZT1, CENPE, SNX18, RAD50, APITD1, RAD51, CENPH, CCNG2, CCDC8, TACC3, NCAPD2, CENPN, NCAPD3, TRIP13, SPC24, MAD2L1, SPC25	1890	616	17911	2.461485604342747	4.57138111075652E-24	4.570856328170048E-25	4.157327650030209E-25
